Año;Departamento;Empresa;Variable Calculada;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;Total Residencial;Industrial;Comercial;Oficial;Otros;Total No Residencial
2016;NORTE DE SANTANDER;CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP;Consumo Empresa Departamento;137043953;314115607;119418362;63528868;17638758;3549025;655294573;47701891;189579469;49808931;54575193;341665484
2016;NORTE DE SANTANDER;DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;66313;1505225;0;0;1571538
2016;NORTE DE SANTANDER;ELECTRIFICADORA DE SANTANDER S.A. E.S.P.;Consumo Empresa Departamento;1276789;1474518;173402;111457;0;0;3036166;142775;717388;238287;373471;1471921
2016;NORTE DE SANTANDER;ELECTRIFICADORA DEL CARIBE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;2840079;0;0;2840079
2016;NORTE DE SANTANDER;EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;0;0;0;0
2016;NORTE DE SANTANDER;EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;70530632;38028144;35765192;2814286;147138254
2016;NORTE DE SANTANDER;ENEL COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;33818776;5288782;701916;0;39809474
2016;NORTE DE SANTANDER;ENERGIA & AGUA SAS ESP;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;525634;0;0;525634
2016;NORTE DE SANTANDER;ENERTOTAL S.A. E.S.P.;Consumo Empresa Departamento;0;0;6826;0;0;0;6826;111300;953362;12711;0;1077373
2016;NORTE DE SANTANDER;ISAGEN S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;4721724;0;0;0;4721724
2016;NORTE DE SANTANDER;RUITOQUE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;438179;0;0;0;438179
2016;NORTE DE SANTANDER;VATIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;348426;113297;382891;0;844614;7964418;16028953;0;1894942;25888313
2016;PUTUMAYO;ELECTRIFICADORA DEL CAQUETA S.A. ESP;Consumo Empresa Departamento;24946;0;0;0;0;0;24946;0;0;0;0;0
2016;PUTUMAYO;EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.;Consumo Empresa Departamento;16399873;9492565;1226771;0;0;0;27119209;2233537;11039724;4044565;1462029;18779855
2016;PUTUMAYO;EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP;Consumo Empresa Departamento;18981410;6786452;1326473;0;0;0;27094335;409603;5128169;2452488;236652;8226912
2016;PUTUMAYO;EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ;Consumo Empresa Departamento;5973132;2046870;26804;0;0;0;8046806;102340;806847;226529;710500;1846216
2016;PUTUMAYO;ENEL COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;58250755;0;0;0;58250755
2016;PUTUMAYO;ENERTOTAL S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;96971;93160;0;190131
2016;PUTUMAYO;VATIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;74982;0;0;74982
2016;QUINDIO;CELSIA COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;1188692;0;0;0;1188692
2016;QUINDIO;DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;570392;1170111;0;0;1740503
2016;QUINDIO;ELECTRIFICADORA DEL CARIBE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;4646217;0;0;4646217
2016;QUINDIO;EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.;Consumo Empresa Departamento;3568;155554;1515;0;0;0;160637;0;34342;0;0;34342
2016;QUINDIO;EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.;Consumo Empresa Departamento;42767693;71373445;55517765;20099428;15653301;3004111;208415743;29658512;84765651;12924263;13895788;141244214
2016;QUINDIO;EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;17192479;23744689;0;3782544;44719712
2016;QUINDIO;ENEL COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;797515;453338;0;0;1250853
2016;QUINDIO;ENERTOTAL S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;18561;0;0;0;18561
2016;QUINDIO;TERPEL ENERGIA S.A.S E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;1238663;0;0;1238663
2016;QUINDIO;VATIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;4159133;4303179;0;134005;8596317
2016;RISARALDA;CELSIA COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;3172414;0;0;0;3172414
2016;RISARALDA;CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO;Consumo Empresa Departamento;22523287;62125381;58057647;12025108;775042;306924;155813389;8932668;54480970;3027755;15182888;81624281
